pl_name,hostname,discoverymethod,disc_facility,pl_rade,pl_radeerr1,pl_radeerr2,pl_orbper,pl_insol,st_mass,st_teff,st_rad,st_met,sy_dist
Kepler-384 b,Kepler-384,Transit,Kepler,1.12,0.32,-0.32,22.597053,101.549,0.882,5577.0,0.882,-0.29,895.678
HATS-65 b,HATS-65,Transit,HATSouth,16.824709,0.56045,-0.56045,3.105161,1178.0,1.257,6277.0,1.31,0.199,493.32
Kepler-221 d,Kepler-221,Transit,Kepler,2.73,0.25,-0.25,10.04156,56.293,0.854,5243.0,0.821,0.0616,385.231
Kepler-296 f,Kepler-296,Transit,Kepler,1.8,0.31,-0.3,63.33627,0.62,0.498,3740.0,0.48,-0.08,167.0
TOI-512 b,TOI-512,Transit,Transiting Exoplanet Survey Satellite (TESS),1.54,0.1,-0.1,7.18886,127.0,0.74,5277.0,0.89,-0.11,67.3975
Kepler-1905 b,Kepler-1905,Transit,Kepler,1.4460734,,,3.42392993,508.75,1.038,5788.0,1.015,0.16,1051.53
Kepler-230 c,Kepler-230,Transit,Kepler,2.04,1.04,-1.04,91.773242,2.976,0.784,5588.0,0.817,-0.21,740.754
Kepler-1713 b,Kepler-1713,Transit,Kepler,1.71673535,,,18.01160049,144.3,1.3,6477.0,1.459,0.1,295.293
Kepler-1036 b,Kepler-1036,Transit,Kepler,3.01,0.14,-0.53,122.8808058,2.821,0.95,5533.0,0.89,0.04,489.435
Kepler-1863 b,Kepler-1863,Transit,Kepler,2.26309256,,,44.99760056,41.5,1.097,5871.0,0.983,0.21,865.546
K2-121 b,K2-121,Transit,K2,7.16,0.12,-0.06,5.185738,62.5,0.71,4526.0,0.675,0.04,169.398
Kepler-1962 b,Kepler-1962,Transit,Kepler,1.21463929,,,7.991459846,155.95,1.003,5700.0,1.006,0.16,866.826
Kepler-886 b,Kepler-886,Transit,Kepler,1.52,0.42,-0.19,6.24146367,231.432,1.1,6098.0,1.16,-0.01,711.297
Kepler-220 b,Kepler-220,Transit,Kepler,0.81,0.05,-0.05,4.159807,105.001,0.729,4632.0,0.666,-0.1738,171.109
Kepler-444 b,Kepler-444,Transit,Kepler,0.403,0.016,-0.014,3.6001053,225.735,0.758,5046.0,0.752,-0.55,36.4396
Kepler-402 d,Kepler-402,Transit,Kepler,1.38,0.27,-0.27,8.921099,214.277,1.072,6090.0,1.264,-0.08,625.339
Kepler-414 b,Kepler-414,Transit Timing Variations,Kepler,1.71,0.31,-0.14,4.7,241.171,0.89,5536.0,0.946,0.18,413.46
Kepler-1480 b,Kepler-1480,Transit,Kepler,1.67,0.11,-0.08,22.12679948,16.317,0.85,5156.0,0.81,0.07,500.892
Kepler-24 d,Kepler-24,Transit,Kepler,1.67,0.39,-0.39,4.244384,601.895,1.046,5897.0,1.289,-0.0708,1156.81
HAT-P-2 b,HAT-P-2,Transit,HATNet,10.659759,0.437151,-0.594077,5.6335158,588.518,1.33,6380.0,1.39,0.18,127.774
Kepler-1083 b,Kepler-1083,Transit,Kepler,3.36,0.16,-0.63,33.4177993,10.148,0.81,5049.0,0.77,-0.02,902.633
Kepler-576 b,Kepler-576,Transit,Kepler,3.27,0.84,-0.39,29.91136794,16.817,0.99,5672.0,0.97,0.09,617.55
K2-378 b,K2-378,Transit,K2,2.88,0.27,-0.23,2.060438,,0.923,4823.0,0.732,-0.206,687.973
